YEAR,MO,DY,T2M_MIN,T2M_MAX,RH2M,WS2M,ALLSKY_SFC_SW_DWN,ET0
2010,1,1,17.52,28.38,72.15,2.89,17.82,4.778
2010,1,2,15.41,28.93,66.76,2.69,19.08,5.2
2010,1,3,15.1,27.57,70.37,1.95,19.332,4.814
2010,1,4,14.46,29.65,64.02,1.83,20.304,5.326
2010,1,5,13.64,30.33,63.2,1.95,19.908,5.338
2010,1,6,14.11,28.97,67.19,2.57,18.432000000000002,4.98
2010,1,7,15.21,29.06,68.88,2.52,17.064,4.682
2010,1,8,14.96,30.28,69.21,2.3,17.1,4.69
2010,1,9,18.18,29.73,75.17,2.71,14.292000000000002,4.03
2010,1,10,18.94,29.76,74.92,2.81,14.904,4.208
2010,1,11,18.79,30.16,75.16,2.72,15.515999999999998,4.312
2010,1,12,18.68,30.9,72.78,1.29,14.4,3.861
2010,1,13,19.88,29.61,76.0,1.73,13.104000000000001,3.585
2010,1,14,19.25,30.19,71.18,2.63,16.812,4.771
2010,1,15,17.31,29.45,69.47,3.34,18.036,5.131
2010,1,16,15.09,28.67,66.68,3.07,19.908,5.407
2010,1,17,15.49,30.16,65.98,2.82,19.116,5.384
2010,1,18,16.59,29.67,69.34,2.24,17.64,4.79
2010,1,19,17.39,29.38,68.47,2.35,16.452,4.641
2010,1,20,16.16,29.76,61.36,2.49,18.144000000000002,5.331
2010,1,21,14.57,29.04,59.0,2.4,21.6,5.931
2010,1,22,12.69,29.1,60.35,2.33,21.276,5.706
2010,1,23,12.57,28.67,60.74,2.7,21.312,5.763
2010,1,24,13.0,29.22,61.25,2.31,21.744,5.769
2010,1,25,14.81,29.05,65.32,2.43,18.684,5.113
2010,1,26,15.11,29.5,65.09,2.54,17.496000000000002,4.982
2010,1,27,16.23,29.56,66.61,2.55,19.764000000000003,5.383
2010,1,28,16.88,29.91,64.79,3.24,19.476000000000003,5.672
2010,1,29,16.03,30.64,61.52,2.8,20.376,5.92
2010,1,30,15.09,31.37,58.4,2.3,20.88,6.013
2010,1,31,15.4,31.09,58.68,1.66,19.908,5.515
2010,2,1,15.97,30.26,58.47,2.34,21.096,6.008
2010,2,2,14.86,31.12,56.01,2.9,21.384,6.448
2010,2,3,13.88,31.91,53.02,2.81,22.248,6.782
2010,2,4,12.58,29.93,51.67,2.76,22.572,6.612
2010,2,5,13.2,31.6,53.26,2.93,22.68,6.837
2010,2,6,11.86,30.53,53.38,3.63,21.888,6.783
2010,2,7,13.64,30.38,60.69,3.32,19.836,5.913
2010,2,8,14.57,31.94,52.27,2.51,21.888,6.641
2010,2,9,13.31,33.43,51.25,1.41,23.112000000000002,6.392
2010,2,10,15.08,33.45,53.26,2.82,22.176000000000002,6.98
2010,2,11,17.75,32.93,54.66,2.7,16.02,5.691
2010,2,12,18.25,33.85,55.48,2.43,19.62,6.309
2010,2,13,18.32,35.12,51.44,2.82,22.715999999999998,7.507
2010,2,14,17.72,33.31,48.33,2.03,22.572,6.951
2010,2,15,17.71,35.98,50.65,3.2,22.68,7.849
2010,2,16,16.82,35.41,47.49,2.97,23.868,8.048
2010,2,17,16.43,36.27,50.34,2.48,23.724,7.624
2010,2,18,17.47,34.95,43.55,2.25,22.464000000000002,7.464
2010,2,19,18.43,35.34,34.73,2.69,22.464000000000002,8.398
2010,2,20,16.03,35.95,42.46,2.56,23.471999999999998,8.031
2010,2,21,17.42,35.42,48.65,2.33,20.952,6.996
2010,2,22,17.4,35.44,45.96,2.38,23.436,7.684
2010,2,23,17.43,35.19,46.72,2.21,23.256,7.461
2010,2,24,19.9,34.56,43.17,1.37,22.464000000000002,6.809
2010,2,25,20.76,33.86,42.24,2.24,21.096,7.255
2010,2,26,21.9,32.82,41.63,1.9,19.404,6.601
2010,2,27,19.28,36.24,38.31,2.25,23.328000000000003,8.115
2010,2,28,17.98,35.98,41.52,2.93,24.408,8.631
2010,3,1,16.9,35.74,35.53,2.71,24.66,8.804
2010,3,2,16.4,35.98,35.87,2.96,24.48,8.976
2010,3,3,16.15,36.23,29.2,1.65,24.3,8.02
2010,3,4,16.73,36.09,31.14,1.7,22.68,7.655
